"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
40000,Oklahoma,8,"  Real per capita personal income 4/",(NA)
40000,Oklahoma,9,"  Real per capita PCE 5/",(NA)
40000,Oklahoma,,Per capita current dollar statistics,
40000,Oklahoma,10,"  Per capita personal income 6/",54998
40000,Oklahoma,11,"  Per capita disposable personal income 7/",49398
40000,Oklahoma,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
40000,Oklahoma,,Price indexes,
40000,Oklahoma,13,"  Regional price parities (RPPs) 9/",(NA)
40000,Oklahoma,14,"  Implicit regional price deflator 10/",(NA)
40000,Oklahoma,,Employment,
40000,Oklahoma,15,"  Total employment (number of jobs)",(NA)
41000,Oregon,,Real dollar statistics,
41000,Oregon,1,"  Real GDP (millions of chained 2012 dollars) 1/",234806.2
41000,Oregon,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
41000,Oregon,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
41000,Oregon,,Current dollar statistics (millions of dollars),
41000,Oregon,4,"  Gross domestic product (GDP)",299125.5
41000,Oregon,5,"  Personal income",266139.2
41000,Oregon,6,"  Disposable personal income",226259.3
41000,Oregon,7,"  Personal consumption expenditures",(NA)
41000,Oregon,,Real per capita dollar statistics (constant 2012 dollars),
41000,Oregon,8,"  Real per capita personal income 4/",(NA)
41000,Oregon,9,"  Real per capita PCE 5/",(NA)
41000,Oregon,,Per capita current dollar statistics,
41000,Oregon,10,"  Per capita personal income 6/",62767
41000,Oregon,11,"  Per capita disposable personal income 7/",53361
41000,Oregon,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
41000,Oregon,,Price indexes,
41000,Oregon,13,"  Regional price parities (RPPs) 9/",(NA)
41000,Oregon,14,"  Implicit regional price deflator 10/",(NA)
41000,Oregon,,Employment,
41000,Oregon,15,"  Total employment (number of jobs)",(NA)
42000,Pennsylvania,,Real dollar statistics,
42000,Pennsylvania,1,"  Real GDP (millions of chained 2012 dollars) 1/",726035.6
42000,Pennsylvania,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
42000,Pennsylvania,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
42000,Pennsylvania,,Current dollar statistics (millions of dollars),
42000,Pennsylvania,4,"  Gross domestic product (GDP)",923088.8
42000,Pennsylvania,5,"  Personal income",845346.7
42000,Pennsylvania,6,"  Disposable personal income",726870.3
42000,Pennsylvania,7,"  Personal consumption expenditures",(NA)
42000,Pennsylvania,,Real per capita dollar statistics (constant 2012 dollars),
42000,Pennsylvania,8,"  Real per capita personal income 4/",(NA)
42000,Pennsylvania,9,"  Real per capita PCE 5/",(NA)
42000,Pennsylvania,,Per capita current dollar statistics,
42000,Pennsylvania,10,"  Per capita personal income 6/",65167
42000,Pennsylvania,11,"  Per capita disposable personal income 7/",56034
42000,Pennsylvania,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
42000,Pennsylvania,,Price indexes,
42000,Pennsylvania,13,"  Regional price parities (RPPs) 9/",(NA)
42000,Pennsylvania,14,"  Implicit regional price deflator 10/",(NA)
42000,Pennsylvania,,Employment,
42000,Pennsylvania,15,"  Total employment (number of jobs)",(NA)
44000,Rhode Island,,Real dollar statistics,
44000,Rhode Island,1,"  Real GDP (millions of chained 2012 dollars) 1/",55413.3
44000,Rhode Island,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
44000,Rhode Island,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
44000,Rhode Island,,Current dollar statistics (millions of dollars),
44000,Rhode Island,4,"  Gross domestic product (GDP)",71402.2
44000,Rhode Island,5,"  Personal income",71504.9
44000,Rhode Island,6,"  Disposable personal income",61565.1
44000,Rhode Island,7,"  Personal consumption expenditures",(NA)
44000,Rhode Island,,Real per capita dollar statistics (constant 2012 dollars),
44000,Rhode Island,8,"  Real per capita personal income 4/",(NA)
44000,Rhode Island,9,"  Real per capita PCE 5/",(NA)
44000,Rhode Island,,Per capita current dollar statistics,
44000,Rhode Island,10,"  Per capita personal income 6/",65377
44000,Rhode Island,11,"  Per capita disposable personal income 7/",56289
44000,Rhode Island,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
44000,Rhode Island,,Price indexes,
44000,Rhode Island,13,"  Regional price parities (RPPs) 9/",(NA)
44000,Rhode Island,14,"  Implicit regional price deflator 10/",(NA)
44000,Rhode Island,,Employment,
44000,Rhode Island,15,"  Total employment (number of jobs)",(NA)
45000,South Carolina,,Real dollar statistics,
45000,South Carolina,1,"  Real GDP (millions of chained 2012 dollars) 1/",226420.1
45000,South Carolina,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
45000,South Carolina,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
45000,South Carolina,,Current dollar statistics (millions of dollars),
45000,South Carolina,4,"  Gross domestic product (GDP)",295880.5
45000,South Carolina,5,"  Personal income",281668.1
45000,South Carolina,6,"  Disposable personal income",246806.5
45000,South Carolina,7,"  Personal consumption expenditures",(NA)
45000,South Carolina,,Real per capita dollar statistics (constant 2012 dollars),
45000,South Carolina,8,"  Real per capita personal income 4/",(NA)
45000,South Carolina,9,"  Real per capita PCE 5/",(NA)
45000,South Carolina,,Per capita current dollar statistics,
45000,South Carolina,10,"  Per capita personal income 6/",53320
45000,South Carolina,11,"  Per capita disposable personal income 7/",46720
45000,South Carolina,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
45000,South Carolina,,Price indexes,
45000,South Carolina,13,"  Regional price parities (RPPs) 9/",(NA)
45000,South Carolina,14,"  Implicit regional price deflator 10/",(NA)
45000,South Carolina,,Employment,
45000,South Carolina,15,"  Total employment (number of jobs)",(NA)
46000,South Dakota,,Real dollar statistics,
46000,South Dakota,1,"  Real GDP (millions of chained 2012 dollars) 1/",49809.2
46000,South Dakota,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
46000,South Dakota,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
46000,South Dakota,,Current dollar statistics (millions of dollars),
46000,South Dakota,4,"  Gross domestic product (GDP)",67570.7
46000,South Dakota,5,"  Personal income",59871.6
46000,South Dakota,6,"  Disposable personal income",54305.6
46000,South Dakota,7,"  Personal consumption expenditures",(NA)
46000,South Dakota,,Real per capita dollar statistics (constant 2012 dollars),
46000,South Dakota,8,"  Real per capita personal income 4/",(NA)
46000,South Dakota,9,"  Real per capita PCE 5/",(NA)
46000,South Dakota,,Per capita current dollar statistics,
46000,South Dakota,10,"  Per capita personal income 6/",65806
46000,South Dakota,11,"  Per capita disposable personal income 7/",59688
46000,South Dakota,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
46000,South Dakota,,Price indexes,
46000,South Dakota,13,"  Regional price parities (RPPs) 9/",(NA)
46000,South Dakota,14,"  Implicit regional price deflator 10/",(NA)
46000,South Dakota,,Employment,
46000,South Dakota,15,"  Total employment (number of jobs)",(NA)
47000,Tennessee,,Real dollar statistics,
47000,Tennessee,1,"  Real GDP (millions of chained 2012 dollars) 1/",367776.0
47000,Tennessee,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
47000,Tennessee,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
47000,Tennessee,,Current dollar statistics (millions of dollars),
47000,Tennessee,4,"  Gross domestic product (GDP)",475755.1
47000,Tennessee,5,"  Personal income",410944.8
47000,Tennessee,6,"  Disposable personal income",368520.2
47000,Tennessee,7,"  Personal consumption expenditures",(NA)
47000,Tennessee,,Real per capita dollar statistics (constant 2012 dollars),
47000,Tennessee,8,"  Real per capita personal income 4/",(NA)
47000,Tennessee,9,"  Real per capita PCE 5/",(NA)
47000,Tennessee,,Per capita current dollar statistics,
47000,Tennessee,10,"  Per capita personal income 6/",58279
47000,Tennessee,11,"  Per capita disposable personal income 7/",52262
47000,Tennessee,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
47000,Tennessee,,Price indexes,
47000,Tennessee,13,"  Regional price parities (RPPs) 9/",(NA)
47000,Tennessee,14,"  Implicit regional price deflator 10/",(NA)
47000,Tennessee,,Employment,
47000,Tennessee,15,"  Total employment (number of jobs)",(NA)
48000,Texas,,Real dollar statistics,
48000,Texas,1,"  Real GDP (millions of chained 2012 dollars) 1/",1876327.8
48000,Texas,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
48000,Texas,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
48000,Texas,,Current dollar statistics (millions of dollars),
48000,Texas,4,"  Gross domestic product (GDP)",2355959.7
48000,Texas,5,"  Personal income",1861395.9
48000,Texas,6,"  Disposable personal income",1636263.0
48000,Texas,7,"  Personal consumption expenditures",(NA)
48000,Texas,,Real per capita dollar statistics (constant 2012 dollars),
48000,Texas,8,"  Real per capita personal income 4/",(NA)
48000,Texas,9,"  Real per capita PCE 5/",(NA)
48000,Texas,,Per capita current dollar statistics,
48000,Texas,10,"  Per capita personal income 6/",61985
48000,Texas,11,"  Per capita disposable personal income 7/",54488
48000,Texas,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
48000,Texas,,Price indexes,
48000,Texas,13,"  Regional price parities (RPPs) 9/",(NA)
48000,Texas,14,"  Implicit regional price deflator 10/",(NA)
48000,Texas,,Employment,
48000,Texas,15,"  Total employment (number of jobs)",(NA)
49000,Utah,,Real dollar statistics,
49000,Utah,1,"  Real GDP (millions of chained 2012 dollars) 1/",191965.2
49000,Utah,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
49000,Utah,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
49000,Utah,,Current dollar statistics (millions of dollars),
49000,Utah,4,"  Gross domestic product (GDP)",248176.3
49000,Utah,5,"  Personal income",195834.2
49000,Utah,6,"  Disposable personal income",167797.4
49000,Utah,7,"  Personal consumption expenditures",(NA)
49000,Utah,,Real per capita dollar statistics (constant 2012 dollars),
49000,Utah,8,"  Real per capita personal income 4/",(NA)
49000,Utah,9,"  Real per capita PCE 5/",(NA)
49000,Utah,,Per capita current dollar statistics,
49000,Utah,10,"  Per capita personal income 6/",57925
49000,Utah,11,"  Per capita disposable personal income 7/",49632
49000,Utah,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
49000,Utah,,Price indexes,
49000,Utah,13,"  Regional price parities (RPPs) 9/",(NA)
49000,Utah,14,"  Implicit regional price deflator 10/",(NA)
49000,Utah,,Employment,
49000,Utah,15,"  Total employment (number of jobs)",(NA)
50000,Vermont,,Real dollar statistics,
50000,Vermont,1,"  Real GDP (millions of chained 2012 dollars) 1/",31395.3
50000,Vermont,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
50000,Vermont,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
50000,Vermont,,Current dollar statistics (millions of dollars),
50000,Vermont,4,"  Gross domestic product (GDP)",40617.1
50000,Vermont,5,"  Personal income",40898.4
50000,Vermont,6,"  Disposable personal income",35403.2
50000,Vermont,7,"  Personal consumption expenditures",(NA)
50000,Vermont,,Real per capita dollar statistics (constant 2012 dollars),
50000,Vermont,8,"  Real per capita personal income 4/",(NA)
50000,Vermont,9,"  Real per capita PCE 5/",(NA)
50000,Vermont,,Per capita current dollar statistics,
50000,Vermont,10,"  Per capita personal income 6/",63206
50000,Vermont,11,"  Per capita disposable personal income 7/",54714
50000,Vermont,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
50000,Vermont,,Price indexes,
50000,Vermont,13,"  Regional price parities (RPPs) 9/",(NA)
50000,Vermont,14,"  Implicit regional price deflator 10/",(NA)
50000,Vermont,,Employment,
50000,Vermont,15,"  Total employment (number of jobs)",(NA)
51000,Virginia,,Real dollar statistics,
51000,Virginia,1,"  Real GDP (millions of chained 2012 dollars) 1/",512946.3
51000,Virginia,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
51000,Virginia,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
51000,Virginia,,Current dollar statistics (millions of dollars),
51000,Virginia,4,"  Gross domestic product (GDP)",649392.6
51000,Virginia,5,"  Personal income",592315.1
51000,Virginia,6,"  Disposable personal income",501817.2
51000,Virginia,7,"  Personal consumption expenditures",(NA)
51000,Virginia,,Real per capita dollar statistics (constant 2012 dollars),
51000,Virginia,8,"  Real per capita personal income 4/",(NA)
51000,Virginia,9,"  Real per capita PCE 5/",(NA)
51000,Virginia,,Per capita current dollar statistics,
51000,Virginia,10,"  Per capita personal income 6/",68211
51000,Virginia,11,"  Per capita disposable personal income 7/",57789
51000,Virginia,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
51000,Virginia,,Price indexes,
51000,Virginia,13,"  Regional price parities (RPPs) 9/",(NA)
51000,Virginia,14,"  Implicit regional price deflator 10/",(NA)
51000,Virginia,,Employment,
51000,Virginia,15,"  Total employment (number of jobs)",(NA)
53000,Washington,,Real dollar statistics,
53000,Washington,1,"  Real GDP (millions of chained 2012 dollars) 1/",582171.6
53000,Washington,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
53000,Washington,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
53000,Washington,,Current dollar statistics (millions of dollars),
53000,Washington,4,"  Gross domestic product (GDP)",725513.5
53000,Washington,5,"  Personal income",589368.1
53000,Washington,6,"  Disposable personal income",507708.4
53000,Washington,7,"  Personal consumption expenditures",(NA)
53000,Washington,,Real per capita dollar statistics (constant 2012 dollars),
53000,Washington,8,"  Real per capita personal income 4/",(NA)
53000,Washington,9,"  Real per capita PCE 5/",(NA)
53000,Washington,,Per capita current dollar statistics,
53000,Washington,10,"  Per capita personal income 6/",75698
53000,Washington,11,"  Per capita disposable personal income 7/",65210
53000,Washington,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
53000,Washington,,Price indexes,
53000,Washington,13,"  Regional price parities (RPPs) 9/",(NA)
53000,Washington,14,"  Implicit regional price deflator 10/",(NA)
53000,Washington,,Employment,
53000,Washington,15,"  Total employment (number of jobs)",(NA)
54000,West Virginia,,Real dollar statistics,
54000,West Virginia,1,"  Real GDP (millions of chained 2012 dollars) 1/",71652.4
54000,West Virginia,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
54000,West Virginia,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
54000,West Virginia,,Current dollar statistics (millions of dollars),
54000,West Virginia,4,"  Gross domestic product (GDP)",95588.4
54000,West Virginia,5,"  Personal income",87282.0
54000,West Virginia,6,"  Disposable personal income",78057.4
54000,West Virginia,7,"  Personal consumption expenditures",(NA)
54000,West Virginia,,Real per capita dollar statistics (constant 2012 dollars),
54000,West Virginia,8,"  Real per capita personal income 4/",(NA)
54000,West Virginia,9,"  Real per capita PCE 5/",(NA)
54000,West Virginia,,Per capita current dollar statistics,
54000,West Virginia,10,"  Per capita personal income 6/",49169
54000,West Virginia,11,"  Per capita disposable personal income 7/",43972
54000,West Virginia,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
54000,West Virginia,,Price indexes,
54000,West Virginia,13,"  Regional price parities (RPPs) 9/",(NA)
54000,West Virginia,14,"  Implicit regional price deflator 10/",(NA)
54000,West Virginia,,Employment,
54000,West Virginia,15,"  Total employment (number of jobs)",(NA)
55000,Wisconsin,,Real dollar statistics,
55000,Wisconsin,1,"  Real GDP (millions of chained 2012 dollars) 1/",311702.1
55000,Wisconsin,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
55000,Wisconsin,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
55000,Wisconsin,,Current dollar statistics (millions of dollars),
55000,Wisconsin,4,"  Gross domestic product (GDP)",401791.5
55000,Wisconsin,5,"  Personal income",360684.1
55000,Wisconsin,6,"  Disposable personal income",312671.8
55000,Wisconsin,7,"  Personal consumption expenditures",(NA)
55000,Wisconsin,,Real per capita dollar statistics (constant 2012 dollars),
55000,Wisconsin,8,"  Real per capita personal income 4/",(NA)
55000,Wisconsin,9,"  Real per capita PCE 5/",(NA)
55000,Wisconsin,,Per capita current dollar statistics,
55000,Wisconsin,10,"  Per capita personal income 6/",61210
55000,Wisconsin,11,"  Per capita disposable personal income 7/",53062
55000,Wisconsin,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
55000,Wisconsin,,Price indexes,
55000,Wisconsin,13,"  Regional price parities (RPPs) 9/",(NA)
55000,Wisconsin,14,"  Implicit regional price deflator 10/",(NA)
55000,Wisconsin,,Employment,
55000,Wisconsin,15,"  Total employment (number of jobs)",(NA)
56000,Wyoming,,Real dollar statistics,
56000,Wyoming,1,"  Real GDP (millions of chained 2012 dollars) 1/",36346.1
56000,Wyoming,2,"  Real personal income (millions of constant (2012) dollars) 2/",(NA)
56000,Wyoming,3,"  Real PCE (millions of constant (2012) dollars) 3/",(NA)
56000,Wyoming,,Current dollar statistics (millions of dollars),
56000,Wyoming,4,"  Gross domestic product (GDP)",47432.5
56000,Wyoming,5,"  Personal income",41476.7
56000,Wyoming,6,"  Disposable personal income",36177.3
56000,Wyoming,7,"  Personal consumption expenditures",(NA)
56000,Wyoming,,Real per capita dollar statistics (constant 2012 dollars),
56000,Wyoming,8,"  Real per capita personal income 4/",(NA)
56000,Wyoming,9,"  Real per capita PCE 5/",(NA)
56000,Wyoming,,Per capita current dollar statistics,
56000,Wyoming,10,"  Per capita personal income 6/",71342
56000,Wyoming,11,"  Per capita disposable personal income 7/",62227
56000,Wyoming,12,"  Per capita personal consumption expenditures (PCE) 8/",(NA)
56000,Wyoming,,Price indexes,
56000,Wyoming,13,"  Regional price parities (RPPs) 9/",(NA)
56000,Wyoming,14,"  Implicit regional price deflator 10/",(NA)
56000,Wyoming,,Employment,
56000,Wyoming,15,"  Total employment (number of jobs)",(NA)

Legend/Footnotes
"1/ Chained (2012) dollar series are calculated as the product of the chain-type quantity index and the 2012 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The difference between the United States and sum-of-states reflects federal military and civilian activity located overseas, as well as the differences in source data used to estimate GDP by industry and the expenditures measure of real GDP."
2/ Real personal income for states is personal income divided by the RPPs and the national PCE price index. The result is a constant dollar (using 2012 as the base year) estimate of real personal income. Calculations are performed on unrounded data.
3/ Real personal consumption expenditures for states are personal consumption expenditures divided by the RPPs and the national PCE price index. The result is a constant dollar (using 2012 as the base year) estimate of real personal consumption expenditures. Calculations are performed on unrounded data.
"4/ Real per capita personal income for states is real personal income divided by total midyear population. BEA produced intercensal population statistics for 2010 to 2019 that are tied to the Census Bureau decennial counts for 2010 and 2020 to create consistent time series that are used to prepare per capita personal income statistics. BEA used the Census Bureau Das Gupta method (see https://www2.census.gov/programs-surveys/popest/technical-documentation/methodology/intercensal/2000-2010-intercensal-estimates-methodology.pdf), modified to account for an extra leap year day, to produce the intercensal population statistics that will be used until Census releases its official intercensal population data."
"5/ Real per capita personal consumption expenditures for states is real personal consumption expenditures divided by total midyear population. BEA produced intercensal population statistics for 2010 to 2019 that are tied to the Census Bureau decennial counts for 2010 and 2020 to create consistent time series that are used to prepare per capita personal consumption expenditure statistics. BEA used the Census Bureau Das Gupta method (see https://www2.census.gov/programs-surveys/popest/technical-documentation/methodology/intercensal/2000-2010-intercensal-estimates-methodology.pdf), modified to account for an extra leap year day, to produce the intercensal population statistics that will be used until Census releases its official intercensal population data."
"6/ Per capita personal income is total personal income divided by total midyear population. BEA produced intercensal population figures for 2010 to 2019 that are tied to the Census Bureau decennial counts for 2010 and 2020 to create consistent time series that are used to prepare per capita personal income statistics. BEA used the Census Bureau Das Gupta method (see https://www2.census.gov/programs-surveys/popest/technical-documentation/methodology/intercensal/2000-2010-intercensal-estimates-methodology.pdf), modified to account for an extra leap year day, to produce the intercensal population figures that will be used until Census releases its official intercensal population data."
"7/ Per capita disposable personal income is total disposable personal income divided by total midyear population. BEA produced intercensal population figures for 2010 to 2019 that are tied to the Census Bureau decennial counts for 2010 and 2020 to create consistent time series that are used to prepare per capita personal income statistics. BEA used the Census Bureau Das Gupta method (see https://www2.census.gov/programs-surveys/popest/technical-documentation/methodology/intercensal/2000-2010-intercensal-estimates-methodology.pdf), modified to account for an extra leap year day, to produce the intercensal population figures that will be used until Census releases its official intercensal population data."
"8/ Per capita PCE estimates are in current dollars. Per capita values are computed from unrounded data. BEA produced intercensal population figures for 2010 to 2019 that are tied to the Census Bureau decennial counts for 2010 and 2020 to create consistent time series that are used to prepare per capita PCE statistics. BEA used the Census Bureau Das Gupta method (see https://www2.census.gov/programs-surveys/popest/technical-documentation/methodology/intercensal/2000-2010-intercensal-estimates-methodology.pdf), modified to account for an extra leap year day, to produce the intercensal population figures that will be used until Census releases its official intercensal population data."
9/ Regional price parities (RPPs) measure price level differences across regions for one time period.  Each annual set of RPPs is estimated relative to the US average for that year and thus cannot be compared meaningfully across years (see the IRPD for an adjustment that enables regional time-to-time comparisons).
10/ Implicit regional price deflators (IRPDs) are derived as the product of two terms--the regional price parity and the U.S. PCE price index.  The year to-year change in the IRPDs is an indirect measure of regional inflation.
(NA) In the latest year (NA) indicates the statistic has not yet been published. (NA) in early years indicates the statistic is not available due to source data or methodological reasons.
"  Last updated: March 31, 2023."
